Model,TP,PP,PP_Map,DTYPE,INT8_KV_Cache,Output_Lenght,Batch_Size,Latency,Memory-Pre-Run,Memory-After-Run,Time-Gen-Graph,Time-Prof
llama-2-13b,1,1,40,float16,False,100,1,4.372200965881348,24.73358154296875,25.57147216796875,169.70409035682678,51.583331823349
llama-2-13b,1,1,40,float16,False,200,1,8.561638752619425,24.73358154296875,25.72576904296875,169.70409035682678,74.3782274723053
llama-2-13b,1,1,40,float16,True,10,1,0.6254340807596842,24.74334716796875,25.18865966796875,252.2994508743286,34.04210877418518
llama-2-13b,1,1,40,float16,True,20,1,1.0396989981333415,24.74334716796875,25.19061279296875,252.2994508743286,38.39910936355591
llama-2-13b,1,1,40,float16,True,50,1,2.2826970418294272,24.74334716796875,25.18865966796875,252.2994508743286,40.77597165107727
llama-2-13b,1,1,40,float16,True,100,1,4.356091260910034,24.74334716796875,25.18865966796875,252.2994508743286,52.55765891075134
llama-2-13b,1,1,40,float16,True,200,1,8.512079000473022,24.74334716796875,25.26873779296875,252.2994508743286,75.37785506248474
llama-2-13b,1,1,40,int8,False,10,1,0.46020833651224774,12.90545654296875,13.74334716796875,273.91449522972107,23.223239183425903
llama-2-13b,1,1,40,int8,False,20,1,0.6857687632242838,12.90545654296875,13.74139404296875,273.91449522972107,24.85513734817505
llama-2-13b,1,1,40,int8,False,50,1,1.358513355255127,12.90545654296875,13.74334716796875,273.91449522972107,26.063842296600342
llama-2-13b,1,1,40,int8,False,100,1,2.4829928874969482,12.90545654296875,13.74139404296875,273.91449522972107,32.60556125640869
llama-2-13b,1,1,40,int8,False,200,1,4.731109380722046,12.90545654296875,13.89959716796875,273.91449522972107,43.43189716339111
llama-2-13b,1,1,40,int8,True,10,1,0.4503319263458252,12.90740966796875,13.35272216796875,498.87468242645264,23.3723886013031
llama-2-13b,1,1,40,int8,True,20,1,0.6710223356882731,12.90740966796875,13.35272216796875,498.87468242645264,24.86085343360901
llama-2-13b,1,1,40,int8,True,50,1,1.3366031646728516,12.90740966796875,13.35272216796875,498.87468242645264,26.40853500366211
llama-2-13b,1,1,40,int8,True,100,1,2.439539353052775,12.90740966796875,13.35272216796875,498.87468242645264,32.991727113723755
llama-2-13b,1,1,40,int8,True,200,1,4.669968207677205,12.90740966796875,13.43084716796875,498.87468242645264,41.658849000930786
llama-2-13b,1,1,40,int4,False,10,1,0.3723423480987549,6.99530029296875,7.83319091796875,309.3757014274597,15.284131050109863
llama-2-13b,1,1,40,int4,False,20,1,0.5107505321502686,6.99530029296875,7.83123779296875,309.3757014274597,17.583348274230957
llama-2-13b,1,1,40,int4,False,50,1,0.9243698120117188,6.99530029296875,7.83123779296875,309.3757014274597,19.4160578250885
llama-2-13b,1,1,40,int4,False,100,1,1.6052006085713704,6.99530029296875,7.83319091796875,309.3757014274597,21.70721960067749
llama-2-13b,1,1,40,int4,False,200,1,2.974569400151571,6.99530029296875,7.98944091796875,309.3757014274597,29.45790719985962
llama-2-13b,1,1,40,int4,True,10,1,0.3703595797220866,6.99920654296875,7.44451904296875,542.6211061477661,16.418866872787476
llama-2-13b,1,1,40,int4,True,20,1,0.5037616888682047,6.99920654296875,7.44451904296875,542.6211061477661,17.66746997833252
llama-2-13b,1,1,40,int4,True,50,1,0.8977635701497396,6.99920654296875,7.44451904296875,542.6211061477661,17.976011753082275
llama-2-13b,1,1,40,int4,True,100,1,1.566063404083252,6.99920654296875,7.44451904296875,542.6211061477661,21.484309196472168
llama-2-13b,1,1,40,int4,True,200,1,2.8885088761647544,6.99920654296875,7.52264404296875,542.6211061477661,28.869141340255737
llama-2-13b,1,1,40,int4_gptq,False,10,1,0.3931974569956462,7.36053466796875,8.19842529296875,177.7175793647766,17.49290680885315
